timestamp,src_ip,dst_ip,protocol,length
2025-06-19 17:22:46.396350,172.188.215.153,192.168.1.20,6,54
2025-06-19 17:22:47.256513,192.168.1.14,224.0.0.251,17,103
2025-06-19 17:22:48.225161,192.168.1.20,13.107.254.128,6,145
2025-06-19 17:22:48.226300,192.168.1.20,13.107.254.128,6,100
2025-06-19 17:22:48.264683,13.107.254.128,192.168.1.20,6,54
2025-06-19 17:22:48.266341,13.107.254.128,192.168.1.20,6,100
2025-06-19 17:22:48.314711,192.168.1.20,13.107.254.128,6,54
2025-06-19 17:22:48.353096,13.107.254.128,192.168.1.20,6,231
2025-06-19 17:22:48.358570,192.168.1.20,13.107.254.128,6,143
2025-06-19 17:22:48.361212,192.168.1.20,13.107.254.128,6,494
2025-06-19 17:22:48.395666,13.107.254.128,192.168.1.20,6,54
2025-06-19 17:22:48.482036,13.107.254.128,192.168.1.20,6,230
2025-06-19 17:22:48.533648,192.168.1.20,13.107.254.128,6,54
2025-06-19 17:22:51.708685,192.168.1.20,188.138.125.61,6,66
2025-06-19 17:22:51.968353,188.138.125.61,192.168.1.20,6,58
2025-06-19 17:22:52.481796,192.168.1.20,188.138.125.61,6,66
2025-06-19 17:22:52.687025,188.138.125.61,192.168.1.20,6,58
2025-06-19 17:22:53.234956,192.168.1.20,188.138.125.61,6,66
2025-06-19 17:22:53.412952,188.138.125.61,192.168.1.20,6,58
2025-06-19 17:22:54.198680,192.168.1.20,188.138.125.61,6,66
2025-06-19 17:22:54.299289,188.138.125.61,192.168.1.20,6,58
2025-06-19 17:22:54.611869,192.168.1.20,188.138.125.61,6,66
2025-06-19 17:22:54.835664,188.138.125.61,192.168.1.20,6,58
2025-06-19 17:22:55.767491,192.168.1.17,224.0.0.251,17,256
2025-06-19 17:22:55.773141,192.168.1.17,224.0.0.251,17,93
2025-06-19 17:22:55.959150,192.168.1.17,224.0.0.251,17,93
2025-06-19 17:22:56.267352,192.168.1.17,224.0.0.251,17,93
2025-06-19 17:22:56.477458,192.168.1.17,224.0.0.251,17,377
2025-06-19 17:22:56.489894,192.168.1.17,224.0.0.251,17,313
2025-06-19 17:22:59.645802,192.168.1.23,224.0.0.251,17,135
2025-06-19 17:22:59.998884,192.168.1.20,188.138.125.61,6,66
2025-06-19 17:23:00.058022,192.168.1.12,192.168.1.255,17,243
2025-06-19 17:23:00.170997,188.138.125.61,192.168.1.20,6,58
2025-06-19 17:23:00.775429,192.168.1.20,188.138.125.61,6,66
2025-06-19 17:23:00.848562,188.138.125.61,192.168.1.20,6,58
2025-06-19 17:23:01.362670,192.168.1.20,188.138.125.61,6,66
2025-06-19 17:23:01.539748,188.138.125.61,192.168.1.20,6,58
2025-06-19 17:23:02.053956,192.168.1.20,188.138.125.61,6,66
2025-06-19 17:23:02.225412,188.138.125.61,192.168.1.20,6,58
2025-06-19 17:23:02.732155,192.168.1.20,188.138.125.61,6,66
2025-06-19 17:23:02.898691,188.138.125.61,192.168.1.20,6,58
2025-06-19 17:23:07.223557,192.168.1.14,224.0.0.251,17,103
2025-06-19 17:23:08.359312,192.168.1.20,188.138.125.61,6,66
2025-06-19 17:23:08.555623,188.138.125.61,192.168.1.20,6,58
2025-06-19 17:23:09.056177,192.168.1.20,188.138.125.61,6,66
2025-06-19 17:23:09.272587,188.138.125.61,192.168.1.20,6,58
2025-06-19 17:23:09.786525,192.168.1.20,188.138.125.61,6,66
2025-06-19 17:23:09.989698,188.138.125.61,192.168.1.20,6,58
2025-06-19 17:23:10.499935,192.168.1.20,188.138.125.61,6,66
2025-06-19 17:23:10.706190,188.138.125.61,192.168.1.20,6,58
